clock,arrivals,accepted,rejected,completed,busy,blocking_probability
24.507384420233215,250,188,62,178,10,0.248
51.38056682450262,500,386,114,377,9,0.228
74.2777728937193,750,575,175,567,8,0.23333333333333334
96.64918719497257,1000,772,228,762,10,0.228
117.34231472607877,1250,946,304,937,9,0.2432
139.64422557394357,1500,1126,374,1117,9,0.24933333333333332
160.32074484958812,1750,1299,451,1289,10,0.25771428571428573
181.43631907723253,2000,1480,520,1472,8,0.26
206.25996768071914,2250,1669,581,1661,8,0.25822222222222224
230.47856308649065,2500,1851,649,1845,6,0.2596
251.98777861577858,2750,2020,730,2010,10,0.26545454545454544
275.17397674745564,3000,2188,812,2178,10,0.27066666666666667
297.89581485216706,3250,2357,893,2347,10,0.27476923076923077
320.33730185258753,3500,2524,976,2514,10,0.27885714285714286
343.11812891735394,3750,2721,1029,2711,10,0.2744
365.72771122312884,4000,2916,1084,2906,10,0.271
388.9980336607343,4250,3088,1162,3081,7,0.27341176470588235
410.5095782054347,4500,3282,1218,3275,7,0.27066666666666667
431.74237780810034,4750,3452,1298,3442,10,0.2732631578947368
452.9431970476282,5000,3627,1373,3617,10,0.2746
477.5102602619833,5250,3812,1438,3806,6,0.27390476190476193
499.8853832026524,5500,3991,1509,3983,8,0.27436363636363637
521.001392490679,5750,4167,1583,4160,7,0.275304347826087
542.5541195548017,6000,4354,1646,4345,9,0.2743333333333333
564.557433884343,6250,4542,1708,4532,10,0.27328
586.9188510663416,6500,4737,1763,4729,8,0.2712307692307692
610.9155770919149,6750,4927,1823,4919,8,0.2700740740740741
632.5107307692257,7000,5119,1881,5109,10,0.26871428571428574
652.0302388649125,7250,5287,1963,5277,10,0.27075862068965517
674.0850141877464,7500,5447,2053,5438,9,0.27373333333333333
694.3907451484779,7750,5618,2132,5608,10,0.2750967741935484
715.7378598356383,8000,5793,2207,5783,10,0.275875
737.3756596588482,8250,5979,2271,5969,10,0.2752727272727273
759.5005915175726,8500,6153,2347,6145,8,0.2761176470588235
781.7519010033775,8750,6342,2408,6332,10,0.2752
804.8937293685161,9000,6532,2468,6523,9,0.2742222222222222
825.0176924106098,9250,6719,2531,6709,10,0.2736216216216216
845.6430577014995,9500,6890,2610,6883,7,0.27473684210526317
870.6205979238471,9750,7098,2652,7091,7,0.272
892.4357040728796,10000,7290,2710,7280,10,0.271
917.8335575383898,10250,7491,2759,7481,10,0.2691707317073171
940.6046757701529,10500,7664,2836,7654,10,0.2700952380952381
965.163812178268,10750,7864,2886,7855,9,0.26846511627906977
984.9965577121429,11000,8020,2980,8013,7,0.27090909090909093
999.9355138135743,11145,8139,3006,8131,8,0.2697173620457604
