arrivals,accepted,rejected,completed,blocking_probability,utilization,max_busy,mean_service_time,replica,capacity,arrival_rate,service_rate
11222,5292,5930,5289,0.5284263054713955,0.8764754218596634,6,0.9944265262701817,1,6,11.25,1.0
11354,5238,6116,5232,0.5386647877400035,0.8828767880120707,6,1.0129159859382562,2,6,11.25,1.0
11461,5340,6121,5335,0.5340720704999564,0.8837744143969923,6,0.9936781432008994,3,6,11.25,1.0
11251,5318,5933,5312,0.5273309039196515,0.8759367381726675,6,0.9890043151412405,4,6,11.25,1.0
11224,5220,6004,5214,0.5349251603706343,0.8769629467433478,6,1.0089199677766094,5,6,11.25,1.0
11235,5296,5939,5290,0.5286159323542501,0.8784096079405619,6,0.9961119505432436,6,6,11.25,1.0
11370,5392,5978,5386,0.5257695690413369,0.877306035242806,6,0.978159762441315,7,6,11.25,1.0
11266,5191,6075,5186,0.5392330907154269,0.8803005689681925,6,1.018182221025835,8,6,11.25,1.0
11102,5206,5896,5201,0.5310754818951541,0.8774327553286373,6,1.011872198237892,9,6,11.25,1.0
11189,5230,5959,5224,0.5325766377692377,0.877079144555964,6,1.0076872452074601,10,6,11.25,1.0
11326,5321,6005,5315,0.5301960091824122,0.8766379151387147,6,0.9892823852104184,11,6,11.25,1.0
11310,5353,5957,5347,0.5267020335985854,0.8752431686898748,6,0.9816492097170794,12,6,11.25,1.0
11026,5325,5701,5319,0.5170506076546345,0.8745104050492268,6,0.9863947326383777,13,6,11.25,1.0
11236,5251,5985,5245,0.5326628693485226,0.8809363402208802,6,1.0072513624181576,14,6,11.25,1.0
11223,5297,5926,5294,0.5280228103002762,0.8795557407805777,6,0.9966688062698081,15,6,11.25,1.0
11388,5362,6026,5357,0.5291534949069195,0.8730097344232434,6,0.9779567446089301,16,6,11.25,1.0
11305,5354,5951,5348,0.5264042459088899,0.8789824385665664,6,0.9864035251936817,17,6,11.25,1.0
11207,5212,5995,5207,0.5349335236905506,0.8829117820770909,6,1.0177596081768774,18,6,11.25,1.0
11130,5338,5792,5332,0.5203953279424978,0.8772937442321225,6,0.9875356585126226,19,6,11.25,1.0
11264,5340,5924,5336,0.5259232954545454,0.8767998394285134,6,0.9857982644792945,20,6,11.25,1.0
11123,5282,5841,5277,0.5251281129191765,0.8741487341604777,6,0.9942474443976627,21,6,11.25,1.0
11134,5250,5884,5244,0.5284713490210167,0.8759494810030933,6,1.0017896426842159,22,6,11.25,1.0
11281,5339,5942,5333,0.526726354046627,0.8759344850566645,6,0.9857901165727554,23,6,11.25,1.0
11177,5224,5953,5220,0.5326116131341146,0.8805554110215653,6,1.0116762309199703,24,6,11.25,1.0
11371,5321,6050,5316,0.5320552282121186,0.880178345584429,6,0.9937725449456738,25,6,11.25,1.0
11319,5349,5970,5343,0.5274317519215478,0.8791398733978347,6,0.9870134146297805,26,6,11.25,1.0
11086,5406,5680,5401,0.5123579289193577,0.8677622431502802,6,0.9639219353386865,27,6,11.25,1.0
11194,5300,5894,5295,0.5265320707521887,0.8749446048804593,6,0.9917228739988718,28,6,11.25,1.0
11017,5272,5745,5266,0.5214668239992738,0.8744722255445742,6,0.9965757284011678,29,6,11.25,1.0
11360,5415,5945,5410,0.5233274647887324,0.8703195611928652,6,0.9657370005443751,30,6,11.25,1.0
11265,7012,4253,7006,0.3775410563692854,0.8506320654474634,8,0.971381158301103,1,8,11.25,1.0
11303,6869,4434,6861,0.39228523400867027,0.8554323010520164,8,0.9978972435869664,2,8,11.25,1.0
11165,6749,4416,6742,0.3955217196596507,0.8514592337825261,8,1.0110227658277935,3,8,11.25,1.0
11130,6831,4299,6825,0.3862533692722372,0.8489085616595858,8,0.9949073079384094,4,8,11.25,1.0
11271,6977,4294,6973,0.3809777304586993,0.847814596058333,8,0.9726682130011545,5,8,11.25,1.0
11267,6759,4508,6754,0.4001065057246827,0.854265040358607,8,1.0115049876491724,6,8,11.25,1.0
11076,6752,4324,6744,0.39039364391477066,0.8515290415935655,8,1.0100862261219137,7,8,11.25,1.0
