Barrido de capacidad - Reverse Proxy DES
=======================================

simulation_time = 1000
replicas = 30
arrival_rate = 11.25
service_rate = 1.0
capacities = [6, 8, 10, 12, 14, 16, 20, 24, 30]

 capacity  arrival_rate  service_rate  blocking_probability_mean  blocking_probability_ci95_low  blocking_probability_ci95_high  utilization_mean  utilization_ci95_low  utilization_ci95_high  mean_rejected  mean_accepted  mean_arrivals
        6         11.25           1.0                   0.528275                       0.526194                        0.530356          0.877195              0.875936               0.878453    5937.233333    5301.133333   11238.366667
        8         11.25           1.0                   0.390236                       0.387975                        0.392497          0.851675              0.850625               0.852725    4383.800000    6849.466667   11233.266667
       10         11.25           1.0                   0.268323                       0.265966                        0.270680          0.818705              0.817255               0.820156    3012.000000    8212.133333   11224.133333
       12         11.25           1.0                   0.167956                       0.165387                        0.170526          0.778053              0.775695               0.780412    1888.733333    9353.700000   11242.433333
       14         11.25           1.0                   0.092620                       0.090808                        0.094432          0.728683              0.726689               0.730677    1042.333333   10207.400000   11249.733333
       16         11.25           1.0                   0.043685                       0.042410                        0.044959          0.671492              0.669297               0.673688     492.000000   10762.433333   11254.433333
       20         11.25           1.0                   0.005773                       0.005281                        0.006266          0.558176              0.555644               0.560708      65.033333   11191.700000   11256.733333
       24         11.25           1.0                   0.000257                       0.000165                        0.000350          0.466964              0.464432               0.469495       2.900000   11236.700000   11239.600000
       30         11.25           1.0                   0.000000                       0.000000                        0.000000          0.375105              0.373261               0.376950       0.000000   11257.166667   11257.166667

La menor capacidad evaluada que deja el bloqueo promedio bajo 5% es c = 16.
