arrivals,accepted,rejected,completed,blocking_probability,utilization,max_busy,mean_service_time,replica,arrival_rate,service_rate,capacity,erlang_b_theoretical
1954,1954,0,1949,0.0,0.19142597570132788,9,0.9820674742439036,1,2,1.0,10,3.8190167941263515e-05
1962,1962,0,1960,0.0,0.1964219380212528,8,1.001743805755316,2,2,1.0,10,3.8190167941263515e-05
1982,1982,0,1982,0.0,0.19404909851648244,8,0.9790570056331114,3,2,1.0,10,3.8190167941263515e-05
1995,1995,0,1993,0.0,0.19796127580329018,9,0.9943140251726592,4,2,1.0,10,3.8190167941263515e-05
2040,2040,0,2035,0.0,0.2075425104612094,8,1.0227163556612278,5,2,1.0,10,3.8190167941263515e-05
1998,1998,0,1997,0.0,0.19778236787164769,10,0.9912735620499917,6,2,1.0,10,3.8190167941263515e-05
1986,1986,0,1983,0.0,0.1914699604596692,9,0.9646734445398049,7,2,1.0,10,3.8190167941263515e-05
1967,1967,0,1966,0.0,0.1993714280193712,9,1.0147039558980884,8,2,1.0,10,3.8190167941263515e-05
1927,1927,0,1923,0.0,0.19397129634535462,9,1.0073225766334293,9,2,1.0,10,3.8190167941263515e-05
2073,2073,0,2071,0.0,0.21221529595150823,9,1.0241094162808002,10,2,1.0,10,3.8190167941263515e-05
2025,2025,0,2024,0.0,0.2084124812825531,9,1.0293413182494004,11,2,1.0,10,3.8190167941263515e-05
2088,2088,0,2086,0.0,0.21493569702442256,8,1.0312070515833143,12,2,1.0,10,3.8190167941263515e-05
1969,1969,0,1967,0.0,0.1944010704677324,9,0.9886118087257749,13,2,1.0,10,3.8190167941263515e-05
1937,1937,0,1935,0.0,0.1939041330328962,9,1.0031747162072835,14,2,1.0,10,3.8190167941263515e-05
1988,1988,0,1987,0.0,0.20548921764617972,10,1.0338187454493881,15,2,1.0,10,3.8190167941263515e-05
2026,2025,1,2022,0.0004935834155972359,0.21152845418531382,10,1.046834908710645,16,2,1.0,10,3.8190167941263515e-05
2026,2026,0,2026,0.0,0.2069341433357529,9,1.0213926127134894,17,2,1.0,10,3.8190167941263515e-05
1986,1986,0,1986,0.0,0.199562013694442,10,1.004843976306354,18,2,1.0,10,3.8190167941263515e-05
2006,2006,0,2004,0.0,0.20246064066515124,10,1.010124571247888,19,2,1.0,10,3.8190167941263515e-05
2007,2007,0,2005,0.0,0.19617851448329457,9,0.9784036945317404,20,2,1.0,10,3.8190167941263515e-05
2022,2021,1,2019,0.0004945598417408506,0.2046021893009409,10,1.0140482620567932,21,2,1.0,10,3.8190167941263515e-05
2003,2003,0,2002,0.0,0.19546562799717015,10,0.9774369624241578,22,2,1.0,10,3.8190167941263515e-05
2032,2032,0,2028,0.0,0.20115546066422932,9,0.991777380799211,23,2,1.0,10,3.8190167941263515e-05
1936,1936,0,1934,0.0,0.19870538186987632,9,1.027416118307804,24,2,1.0,10,3.8190167941263515e-05
1954,1954,0,1953,0.0,0.19158456581938998,8,0.9823293929752583,25,2,1.0,10,3.8190167941263515e-05
2038,2037,1,2036,0.0004906771344455348,0.20453934570209753,10,1.0045835569128028,26,2,1.0,10,3.8190167941263515e-05
1977,1977,0,1975,0.0,0.19751363560744384,9,0.9996750049802561,27,2,1.0,10,3.8190167941263515e-05
1949,1949,0,1949,0.0,0.1966682806140008,9,1.009072758409443,28,2,1.0,10,3.8190167941263515e-05
2021,2021,0,2020,0.0,0.2051022087759645,10,1.0159741212537383,29,2,1.0,10,3.8190167941263515e-05
2014,2014,0,2012,0.0,0.19860477841499924,9,0.9886016523119995,30,2,1.0,10,3.8190167941263515e-05
3930,3909,21,3907,0.0053435114503816794,0.38633072707456734,10,0.9890547893350222,1,4,1.0,10,0.005307548873895178
4071,4032,39,4028,0.009579955784819455,0.4160021645413577,10,1.0330548688956491,2,4,1.0,10,0.005307548873895178
3977,3965,12,3958,0.0030173497611264773,0.3964378891361448,10,1.0023496353190111,3,4,1.0,10,0.005307548873895178
3917,3901,16,3897,0.0040847587439366865,0.39834391391144175,10,1.0231256264627921,4,4,1.0,10,0.005307548873895178
4033,4009,24,4004,0.005950905033473841,0.39439961970029863,10,0.9853789034647775,5,4,1.0,10,0.005307548873895178
4035,4019,16,4013,0.003965303593556382,0.4046512062226991,10,1.0098814844297048,6,4,1.0,10,0.005307548873895178
3948,3927,21,3923,0.005319148936170213,0.39883137498176113,10,1.0167440771320821,7,4,1.0,10,0.005307548873895178
3908,3889,19,3885,0.004861821903787103,0.3811344736509532,10,0.9808202537994234,8,4,1.0,10,0.005307548873895178
3904,3880,24,3874,0.006147540983606557,0.38348184597327617,10,0.9895258759560202,9,4,1.0,10,0.005307548873895178
4020,4003,17,4001,0.004228855721393035,0.4055882992954827,10,1.014277948495157,10,4,1.0,10,0.005307548873895178
4033,4008,25,4003,0.0061988594098685845,0.3977970514779061,10,0.9930825687618652,11,4,1.0,10,0.005307548873895178
3944,3924,20,3920,0.005070993914807302,0.3963464112435554,10,1.0112184344497321,12,4,1.0,10,0.005307548873895178
3961,3951,10,3949,0.0025246149962130774,0.3928539474400487,10,0.9959637613247853,13,4,1.0,10,0.005307548873895178
3977,3949,28,3946,0.00704048277596178,0.3939944206024758,10,0.9986791405801079,14,4,1.0,10,0.005307548873895178
4037,4016,21,4015,0.005201882586078771,0.4074618490505862,10,1.0147965933940524,15,4,1.0,10,0.005307548873895178
4008,3985,23,3979,0.005738522954091816,0.3987004654294096,10,1.0022330347693635,16,4,1.0,10,0.005307548873895178
4007,3977,30,3973,0.007486897928624906,0.39739058474839845,10,1.0006772285053418,17,4,1.0,10,0.005307548873895178
4017,4000,17,3996,0.004232013940751805,0.4045886011882606,10,1.0132349717031623,18,4,1.0,10,0.005307548873895178
4048,4014,34,4010,0.008399209486166008,0.40014856425903755,10,0.9978429146737545,19,4,1.0,10,0.005307548873895178
4093,4058,35,4055,0.008551184949914489,0.40037816216000394,10,0.9873582406541201,20,4,1.0,10,0.005307548873895178
4051,4019,32,4014,0.007899284127375956,0.40220985786830316,10,1.0018383518525964,21,4,1.0,10,0.005307548873895178
3965,3949,16,3947,0.00403530895334174,0.4055043499607337,10,1.0274761198759628,22,4,1.0,10,0.005307548873895178
3869,3855,14,3851,0.00361850607392091,0.3753985065257388,10,0.9746630515398216,23,4,1.0,10,0.005307548873895178
4053,4034,19,4031,0.004687885516901061,0.40572959321006347,10,1.0073972373601414,24,4,1.0,10,0.005307548873895178
3940,3930,10,3925,0.0025380710659898475,0.3976754608974214,10,1.013210199095973,25,4,1.0,10,0.005307548873895178
3957,3947,10,3944,0.0025271670457417236,0.40139074134797365,10,1.0177242950241165,26,4,1.0,10,0.005307548873895178
3978,3949,29,3949,0.007290095525389643,0.4009538877684542,10,1.0153301792060143,27,4,1.0,10,0.005307548873895178
3977,3960,17,3957,0.004274578828262509,0.398912532150176,10,1.0090946799046934,28,4,1.0,10,0.005307548873895178
3952,3912,40,3906,0.010121457489878543,0.40176949134895806,10,1.0289010443736988,29,4,1.0,10,0.005307548873895178
4039,4024,15,4015,0.0037137905422134194,0.396378393286237,10,0.9874828388133343,30,4,1.0,10,0.005307548873895178
5992,5768,224,5764,0.037383177570093455,0.5692159481684618,10,0.9878258024362903,1,6,1.0,10,0.04314183841043926
5873,5609,264,5604,0.04495147284181849,0.5718115768776381,10,1.0209578751851582,2,6,1.0,10,0.04314183841043926
6046,5796,250,5792,0.04134965266291763,0.5671638801998604,10,0.9791203587090431,3,6,1.0,10,0.04314183841043926
5999,5771,228,5763,0.038006334389064846,0.5752649513085165,10,0.9984556518348161,4,6,1.0,10,0.04314183841043926
5911,5653,258,5650,0.04364743698189816,0.5699943854077948,10,1.00843594847377,5,6,1.0,10,0.04314183841043926
5884,5648,236,5640,0.04010876954452753,0.5598878742167706,10,0.9945114125990903,6,6,1.0,10,0.04314183841043926
6022,5749,273,5744,0.04533377615410163,0.5760030408690785,10,1.0033675465635845,7,6,1.0,10,0.04314183841043926
5966,5741,225,5732,0.03771371102916527,0.5742503265089044,10,1.0018297784429464,8,6,1.0,10,0.04314183841043926
6106,5835,271,5829,0.04438257451686865,0.5828237913070127,10,0.9996561523916485,9,6,1.0,10,0.04314183841043926
5850,5667,183,5662,0.03128205128205128,0.565237998782515,10,0.9980205810131261,10,6,1.0,10,0.04314183841043926
5951,5703,248,5696,0.04167366829104352,0.5632934916307525,10,0.9897650477770097,11,6,1.0,10,0.04314183841043926
6029,5745,284,5738,0.04710565599601924,0.5864525131645837,10,1.0218105856054729,12,6,1.0,10,0.04314183841043926
5963,5738,225,5733,0.03773268489015596,0.56742294578796,10,0.9895223765612355,13,6,1.0,10,0.04314183841043926
5940,5685,255,5676,0.04292929292929293,0.5627706287097525,10,0.9918387180042132,14,6,1.0,10,0.04314183841043926
6085,5795,290,5789,0.047658175842235,0.5831854697504261,10,1.0071863446230214,15,6,1.0,10,0.04314183841043926
6047,5752,295,5744,0.048784521250206714,0.579726748824006,10,1.0091258594539507,16,6,1.0,10,0.04314183841043926
5996,5765,231,5759,0.03852568378919279,0.5718223312751873,10,0.9923649732421586,17,6,1.0,10,0.04314183841043926
6155,5876,279,5870,0.04532900081234768,0.5804763570914998,10,0.98918320753434,18,6,1.0,10,0.04314183841043926
6044,5801,243,5798,0.04020516214427532,0.5763530465973655,10,0.994381805526464,19,6,1.0,10,0.04314183841043926
6049,5726,323,5719,0.053397255744751196,0.588637592926249,10,1.0292077303388207,20,6,1.0,10,0.04314183841043926
6018,5725,293,5722,0.048687271518777005,0.5672117024810874,10,0.9910602517338987,21,6,1.0,10,0.04314183841043926
6020,5780,240,5777,0.03986710963455149,0.5739016860566668,10,0.9930814752800728,22,6,1.0,10,0.04314183841043926
5921,5675,246,5668,0.0415470359736531,0.5745603670031962,10,1.013619506213083,23,6,1.0,10,0.04314183841043926
5893,5672,221,5667,0.037502121160699134,0.5702277857546322,10,1.0058784458885133,24,6,1.0,10,0.04314183841043926
6073,5798,275,5792,0.04528239749711839,0.581906635692547,10,1.0043142052571035,25,6,1.0,10,0.04314183841043926
6065,5795,270,5792,0.04451772464962902,0.5835333088978713,10,1.0071057211571566,26,6,1.0,10,0.04314183841043926
5914,5630,284,5625,0.04802164355765979,0.5744567857617123,10,1.0208533330786973,27,6,1.0,10,0.04314183841043926
5980,5705,275,5697,0.04598662207357859,0.571469686578983,10,1.0027364190542882,28,6,1.0,10,0.04314183841043926
5989,5721,268,5715,0.04474870596092837,0.5662711262502398,10,0.990417680507334,29,6,1.0,10,0.04314183841043926
5932,5648,284,5639,0.04787592717464599,0.5799451453085026,10,1.0286382581288616,30,6,1.0,10,0.04314183841043926
7986,7058,928,7052,0.11620335587277736,0.6946044054974186,10,0.9848743030297656,1,8,1.0,10,0.1216610642529515
8033,7032,1001,7024,0.12461097970870161,0.7040106168676475,10,1.0019452124158352,2,8,1.0,10,0.1216610642529515
8033,6937,1096,6929,0.13643719656417277,0.7118145792114323,10,1.0274604883823077,3,8,1.0,10,0.1216610642529515
7933,6985,948,6980,0.11950081936215808,0.7003920160300678,10,1.0034467734384829,4,8,1.0,10,0.1216610642529515
7935,6959,976,6949,0.12299936988027725,0.6987355929472436,10,1.0059110958652697,5,8,1.0,10,0.1216610642529515
7963,7031,932,7021,0.11704131608690192,0.7001782536568748,10,0.9970549008928671,6,8,1.0,10,0.1216610642529515
8007,7119,888,7112,0.11090295991007867,0.6973692746409119,10,0.9801637114154856,7,8,1.0,10,0.1216610642529515
7979,7052,927,7048,0.11617997242762251,0.7102693882831546,10,1.0076433324384513,8,8,1.0,10,0.1216610642529515
8034,6979,1055,6972,0.13131690316156336,0.7039405038978368,10,1.0096718359178944,9,8,1.0,10,0.1216610642529515
7883,7025,858,7018,0.10884181149308639,0.6882029828578927,10,0.9807976577453423,10,8,1.0,10,0.1216610642529515
7855,6982,873,6975,0.11113940165499682,0.6847021116255252,10,0.9815058901604264,11,8,1.0,10,0.1216610642529515
7946,6944,1002,6937,0.12610118298514977,0.692994392090077,10,0.9990790686403576,12,8,1.0,10,0.1216610642529515
7945,7060,885,7055,0.11139081183134046,0.6953209559867893,10,0.9856474588364181,13,8,1.0,10,0.1216610642529515
8117,7089,1028,7085,0.12664777627202167,0.7129588366612137,10,1.0062918843530175,14,8,1.0,10,0.1216610642529515
7917,7038,879,7036,0.1110269041303524,0.6849179956986277,10,0.973270275955872,15,8,1.0,10,0.1216610642529515
8044,7149,895,7139,0.11126305320735952,0.691661599283971,10,0.9683214037756137,16,8,1.0,10,0.1216610642529515
8117,7058,1059,7052,0.1304669212763336,0.7132859520783851,10,1.0120316544573655,17,8,1.0,10,0.1216610642529515
7934,7032,902,7025,0.11368792538442148,0.7020681536507775,10,0.9991854049038146,18,8,1.0,10,0.1216610642529515
7934,7048,886,7046,0.11167128812704814,0.6933973091537169,10,0.9842490710364041,19,8,1.0,10,0.1216610642529515
8076,7088,988,7083,0.12233779098563645,0.7065392346569602,10,0.9980044624844969,20,8,1.0,10,0.1216610642529515
7933,6950,983,6943,0.1239127694440943,0.7063953597538976,10,1.0170465587042903,21,8,1.0,10,0.1216610642529515
7971,6943,1028,6939,0.12896750721364947,0.7038794714152113,10,1.014862530553925,22,8,1.0,10,0.1216610642529515
8173,7047,1126,7037,0.13777070843019698,0.7146449973590447,10,1.0153418458894585,23,8,1.0,10,0.1216610642529515
8095,7064,1031,7054,0.12736256948733787,0.7064281520036314,10,1.0019234124599818,24,8,1.0,10,0.1216610642529515
7817,6916,901,6908,0.1152616093130357,0.6919705295407748,10,1.0012661894338943,25,8,1.0,10,0.1216610642529515
8011,7053,958,7047,0.11958556984146798,0.7052843262224711,10,1.0009183046883376,26,8,1.0,10,0.1216610642529515
8003,6968,1035,6964,0.12932650256153944,0.7022510152164574,10,1.0085312564185749,27,8,1.0,10,0.1216610642529515
7886,6938,948,6930,0.12021303575957393,0.7006696822106634,10,1.01141476239269,28,8,1.0,10,0.1216610642529515
8027,7091,936,7081,0.11660645322038121,0.7019182241056304,10,0.9915722794114646,29,8,1.0,10,0.1216610642529515
8000,7045,955,7040,0.119375,0.7057623318885629,10,1.00243004174036,30,8,1.0,10,0.1216610642529515
9874,7791,2083,7782,0.21095807170346365,0.7790920496751297,10,1.0020616610726776,1,10,1.0,10,0.21458234310734736
9948,7871,2077,7863,0.20878568556493768,0.7873570201741504,10,1.0009254037360555,2,10,1.0,10,0.21458234310734736
9911,7781,2130,7773,0.2149127232368076,0.7841046329070133,10,1.0082191418163853,3,10,1.0,10,0.21458234310734736
10038,7862,2176,7853,0.2167762502490536,0.7901376414011592,10,1.005583386286943,4,10,1.0,10,0.21458234310734736
10081,7901,2180,7895,0.2162483880567404,0.7891150092645355,10,1.0002777001402952,5,10,1.0,10,0.21458234310734736
9910,7837,2073,7828,0.20918264379414733,0.7851819508521638,10,1.002634396119851,6,10,1.0,10,0.21458234310734736
9968,7873,2095,7865,0.2101725521669342,0.7819379636814928,10,0.9939201589954652,7,10,1.0,10,0.21458234310734736
9947,7836,2111,7827,0.21222479139439027,0.7795637292556208,10,0.9962864558672763,8,10,1.0,10,0.21458234310734736
9931,7850,2081,7840,0.20954586647870305,0.7774567117163563,10,0.9915193720988408,9,10,1.0,10,0.21458234310734736
9909,7880,2029,7873,0.20476334645271976,0.7807714496661162,10,0.992023727744339,10,10,1.0,10,0.21458234310734736
10038,7861,2177,7852,0.21687587168758718,0.7832746310878654,10,0.9978001133838278,11,10,1.0,10,0.21458234310734736
10023,7896,2127,7887,0.21221191260101765,0.7833504930201066,10,0.9933625244859985,12,10,1.0,10,0.21458234310734736
10124,7881,2243,7874,0.22155274595021732,0.7854695112025992,10,0.9975158612036893,13,10,1.0,10,0.21458234310734736
10129,7917,2212,7909,0.2183828610919143,0.7896081173229905,10,0.9984019385642215,14,10,1.0,10,0.21458234310734736
10026,7873,2153,7867,0.21474167165370037,0.7850406765759989,10,0.9982667582448992,15,10,1.0,10,0.21458234310734736
9919,7802,2117,7793,0.21342877306180058,0.78352276134207,10,1.0054408126260006,16,10,1.0,10,0.21458234310734736
10074,7836,2238,7828,0.2221560452650387,0.7866376380552763,10,1.0058033897979404,17,10,1.0,10,0.21458234310734736
10022,7882,2140,7873,0.21353023348633007,0.785386131356203,10,0.9985271588656063,18,10,1.0,10,0.21458234310734736
9817,7782,2035,7772,0.2072934705103392,0.7746134660678525,10,0.9967106572291021,19,10,1.0,10,0.21458234310734736
9997,7708,2289,7699,0.22896869060718217,0.7949350993974851,10,1.0317511032490474,20,10,1.0,10,0.21458234310734736
10177,7858,2319,7850,0.22786675837673184,0.7952118374348744,10,1.012624419592952,21,10,1.0,10,0.21458234310734736
10041,7898,2143,7891,0.2134249576735385,0.7893817566063533,10,1.0012626044542121,22,10,1.0,10,0.21458234310734736
9866,7719,2147,7710,0.21761605513886073,0.7815185011991482,10,1.0135112411324732,23,10,1.0,10,0.21458234310734736
10052,7811,2241,7803,0.2229407083167529,0.7897685199744635,10,1.0123408707801966,24,10,1.0,10,0.21458234310734736
9993,7821,2172,7813,0.21735214650255177,0.7782348761655855,10,0.9959329814486368,25,10,1.0,10,0.21458234310734736
9927,7749,2178,7742,0.21940163191296463,0.7882261035765573,10,1.017946592324567,26,10,1.0,10,0.21458234310734736
10194,7874,2320,7865,0.22758485383558957,0.7874281739895537,10,1.0020408790285555,27,10,1.0,10,0.21458234310734736
9972,7836,2136,7827,0.21419975932611313,0.7872356218515757,10,1.0058603806619928,28,10,1.0,10,0.21458234310734736
10216,7968,2248,7959,0.22004698512137824,0.7927370402806965,10,0.9961486999261784,29,10,1.0,10,0.21458234310734736
10094,7844,2250,7837,0.22290469585892608,0.7956477574658296,10,1.0151749809367439,30,10,1.0,10,0.21458234310734736
11966,8251,3715,8242,0.31046297843891024,0.840321880485029,10,1.0194539101494338,1,12,1.0,10,0.3019250402863794
12033,8349,3684,8342,0.306158065320369,0.836970681185522,10,1.0035056924651686,2,12,1.0,10,0.3019250402863794
12005,8403,3602,8394,0.3000416493127863,0.8306081852990034,10,0.9892375218378973,3,12,1.0,10,0.3019250402863794
12095,8305,3790,8300,0.31335262505167427,0.8467226659846241,10,1.0200148713776644,4,12,1.0,10,0.3019250402863794
11943,8391,3552,8383,0.2974127103742778,0.8336009106698508,10,0.9948904654754861,5,12,1.0,10,0.3019250402863794
12045,8369,3676,8359,0.30518887505188874,0.8431269176854587,10,1.0091069119022948,6,12,1.0,10,0.3019250402863794
12053,8336,3717,8327,0.30838795320667056,0.8381060408954463,10,1.0062072979181558,7,12,1.0,10,0.3019250402863794
12006,8313,3693,8304,0.30759620189905046,0.8360704089411418,10,1.0066729848964309,8,12,1.0,10,0.3019250402863794
12040,8380,3660,8372,0.30398671096345514,0.8367857178788487,10,0.99960883792288,9,12,1.0,10,0.3019250402863794
12036,8352,3684,8343,0.30608175473579263,0.8361979265404098,10,1.0027280566949746,10,12,1.0,10,0.3019250402863794
12092,8514,3578,8504,0.2958981144558386,0.8368401532555776,10,0.9845339732251281,11,12,1.0,10,0.3019250402863794
12120,8445,3675,8435,0.3032178217821782,0.838960105216586,10,0.9946073417071191,12,12,1.0,10,0.3019250402863794
11976,8329,3647,8322,0.30452571810287243,0.8354731471147945,10,1.0040826548863369,13,12,1.0,10,0.3019250402863794
