arrivals,accepted,rejected,completed,blocking_probability,utilization,max_busy,mean_service_time,replica,scenario,description,active_users,request_rate_per_user,burst_factor,arrival_rate,service_rate,proxy_capacity
5007,4895,112,4891,0.02236868384262033,0.5111433951841609,10,1.0454079046604812,1,residencial_baja_carga,Zona residencial con trafico distribuido y baja intensidad por usuario.,5000,0.001,1.0,5.0,1.0,10
4973,4854,119,4851,0.023929217775990348,0.500232223226498,10,1.0312452207112872,2,residencial_baja_carga,Zona residencial con trafico distribuido y baja intensidad por usuario.,5000,0.001,1.0,5.0,1.0,10
4919,4856,63,4850,0.01280748119536491,0.47135009059201866,10,0.9717325200272132,3,residencial_baja_carga,Zona residencial con trafico distribuido y baja intensidad por usuario.,5000,0.001,1.0,5.0,1.0,10
4923,4864,59,4857,0.011984562258785294,0.4872853024870481,10,1.003904579269734,4,residencial_baja_carga,Zona residencial con trafico distribuido y baja intensidad por usuario.,5000,0.001,1.0,5.0,1.0,10
4990,4908,82,4903,0.016432865731462926,0.4969805191462325,10,1.0144255879156114,5,residencial_baja_carga,Zona residencial con trafico distribuido y baja intensidad por usuario.,5000,0.001,1.0,5.0,1.0,10
4898,4811,87,4808,0.017762351980400163,0.47386578349798436,10,0.9850758003309554,6,residencial_baja_carga,Zona residencial con trafico distribuido y baja intensidad por usuario.,5000,0.001,1.0,5.0,1.0,10
4912,4812,100,4808,0.02035830618892508,0.48655118228488337,10,1.0115289093103677,7,residencial_baja_carga,Zona residencial con trafico distribuido y baja intensidad por usuario.,5000,0.001,1.0,5.0,1.0,10
5099,5000,99,4996,0.01941557168072171,0.5034919613688129,10,1.0074815134307136,8,residencial_baja_carga,Zona residencial con trafico distribuido y baja intensidad por usuario.,5000,0.001,1.0,5.0,1.0,10
5002,4898,104,4891,0.020791683326669332,0.4933659060348591,10,1.0087079253874087,9,residencial_baja_carga,Zona residencial con trafico distribuido y baja intensidad por usuario.,5000,0.001,1.0,5.0,1.0,10
5083,4990,93,4990,0.0182962817233917,0.49714608827770007,10,0.9962847460474967,10,residencial_baja_carga,Zona residencial con trafico distribuido y baja intensidad por usuario.,5000,0.001,1.0,5.0,1.0,10
5032,4964,68,4960,0.013513513513513514,0.48938319410789016,10,0.9874695347684144,11,residencial_baja_carga,Zona residencial con trafico distribuido y baja intensidad por usuario.,5000,0.001,1.0,5.0,1.0,10
4889,4800,89,4793,0.018204131724278993,0.48891553348141026,10,1.019215520575876,12,residencial_baja_carga,Zona residencial con trafico distribuido y baja intensidad por usuario.,5000,0.001,1.0,5.0,1.0,10
4888,4782,106,4778,0.021685761047463174,0.4787341662257886,10,1.0022262133219253,13,residencial_baja_carga,Zona residencial con trafico distribuido y baja intensidad por usuario.,5000,0.001,1.0,5.0,1.0,10
4979,4882,97,4876,0.01948182365936935,0.48340725615520624,10,0.9916401594649622,14,residencial_baja_carga,Zona residencial con trafico distribuido y baja intensidad por usuario.,5000,0.001,1.0,5.0,1.0,10
4988,4901,87,4895,0.01744186046511628,0.48534740900768236,10,0.9915188790431734,15,residencial_baja_carga,Zona residencial con trafico distribuido y baja intensidad por usuario.,5000,0.001,1.0,5.0,1.0,10
4963,4896,67,4891,0.013499899254483175,0.4863133822789818,10,0.9936780272687017,16,residencial_baja_carga,Zona residencial con trafico distribuido y baja intensidad por usuario.,5000,0.001,1.0,5.0,1.0,10
5004,4908,96,4905,0.019184652278177457,0.49442768402410037,10,1.0081476321009724,17,residencial_baja_carga,Zona residencial con trafico distribuido y baja intensidad por usuario.,5000,0.001,1.0,5.0,1.0,10
5076,4974,102,4969,0.02009456264775414,0.49576001703277844,10,0.9970986925054355,18,residencial_baja_carga,Zona residencial con trafico distribuido y baja intensidad por usuario.,5000,0.001,1.0,5.0,1.0,10
5047,4962,85,4953,0.016841688131563306,0.49194179657635106,10,0.9940324071814921,19,residencial_baja_carga,Zona residencial con trafico distribuido y baja intensidad por usuario.,5000,0.001,1.0,5.0,1.0,10
4907,4847,60,4840,0.012227430201752598,0.4759524604135232,10,0.9832208681609244,20,residencial_baja_carga,Zona residencial con trafico distribuido y baja intensidad por usuario.,5000,0.001,1.0,5.0,1.0,10
